月份,样本,选股,各股收益,QGT均收益,模型概率,仓位决策,策略收益,策略累计,QGT累计
2016-11,IS,MU / COHR / NVDA / LVS / ADSK,MU:+14.5% / COHR:+8.1% / NVDA:+28.5% / LVS:+7.0% / ADSK:+0.5%,11.71,67.2,满仓100%,11.71,11.7,11.7
2016-12,IS,COHR / NVDA / SATS / CFG / NFLX,COHR:-0.8% / NVDA:+13.5% / SATS:-0.1% / CFG:+7.6% / NFLX:+6.4%,5.3,67.5,满仓100%,5.3,17.6,17.6
2017-01,IS,NVDA / KEY / CFG / COHR / GS,NVDA:+5.8% / KEY:-1.7% / CFG:+0.3% / COHR:+1.6% / GS:-5.0%,0.18,63.8,满仓100%,0.18,17.9,17.9
2017-02,IS,NVDA / AMD / CFG / KEY / BAC,NVDA:-6.2% / AMD:+38.4% / CFG:+5.2% / KEY:+5.0% / BAC:+10.4%,10.56,54.9,半仓 50%,5.28,24.1,30.3
2017-03,IS,AMD / NVDA / BAC / COHR / CFG,AMD:-3.2% / NVDA:+5.0% / BAC:-6.8% / COHR:-0.1% / CFG:-9.8%,-2.98,73.0,满仓100%,-2.98,20.4,26.4
2017-04,IS,AMD / INCY / ANET / MU / TSLA,AMD:-8.0% / INCY:-7.6% / ANET:+6.0% / MU:-3.8% / TSLA:+9.7%,-0.74,69.9,满仓100%,-0.74,19.5,25.5
2017-05,IS,ANET / AMD / VRTX / TSLA / MU,ANET:+5.7% / AMD:-16.2% / VRTX:+4.2% / TSLA:+9.2% / MU:+10.4%,2.67,63.2,满仓100%,2.67,22.7,28.8
2017-06,IS,VRTX / ANET / TSLA / LRCX / ISRG,VRTX:+4.4% / ANET:+2.4% / TSLA:+7.6% / LRCX:-8.1% / ISRG:+2.8%,1.83,53.3,半仓 50%,0.92,23.8,31.2
2017-07,IS,NVDA / VRTX / TSLA / ANET / EA,NVDA:+11.6% / VRTX:+18.2% / TSLA:-12.8% / ANET:-0.4% / EA:+10.4%,5.39,71.8,满仓100%,5.39,30.5,38.3
2017-08,IS,NVDA / VRTX / PYPL / CSGP / COO,NVDA:+4.9% / VRTX:+5.0% / PYPL:+5.0% / CSGP:+4.0% / COO:-0.1%,3.79,63.6,满仓100%,3.79,35.4,43.5
2017-09,IS,NVDA / VRTX / PYPL / BA / CSGP,NVDA:+6.3% / VRTX:-5.9% / PYPL:+4.1% / BA:+6.2% / CSGP:-6.4%,0.88,56.2,满仓100%,0.88,36.6,44.8
2017-10,IS,REMX / NVDA / BA / VRTX / FCX,REMX:+5.9% / NVDA:+15.7% / BA:+1.4% / VRTX:-2.6% / FCX:+3.0%,4.7,59.5,满仓100%,4.7,43.0,51.6
2017-11,IS,REMX / MU / ABBV / BA / NVDA,REMX:+3.0% / MU:-6.8% / ABBV:+7.1% / BA:+7.4% / NVDA:-4.8%,1.18,66.5,满仓100%,1.18,44.7,53.4
2017-12,IS,MU / REMX / IBKR / LRCX / ANET,MU:-0.5% / REMX:+7.2% / IBKR:+3.6% / LRCX:-2.5% / ANET:+1.3%,1.82,66.8,满仓100%,1.82,47.4,56.1
2018-01,IS,IBKR / MU / ANET / DLTR / CPRT,IBKR:+8.2% / MU:+3.6% / ANET:+16.0% / DLTR:+5.2% / CPRT:+1.1%,6.83,67.2,满仓100%,6.83,57.4,66.8
2018-02,IS,NTAP / ANET / IBKR / ROST / KR,NTAP:-1.2% / ANET:-0.9% / IBKR:+9.1% / ROST:-4.6% / KR:-9.7%,-1.47,54.2,半仓 50%,-0.74,56.3,64.3
2018-03,IS,NFLX / KR / AMZN / DECK / NTAP,NFLX:-0.3% / KR:-12.3% / AMZN:-6.3% / DECK:-4.9% / NTAP:-0.5%,-4.88,55.4,满仓100%,-4.88,48.6,56.3
2018-04,IS,NFLX / AMZN / DECK / NOW / BA,NFLX:+6.3% / AMZN:+10.3% / DECK:+3.3% / NOW:+0.6% / BA:+2.2%,4.55,51.4,半仓 50%,2.27,52.0,63.4
2018-05,IS,NFLX / DXCM / FTNT / PANW / NOW,NFLX:+14.0% / DXCM:+21.3% / FTNT:+11.9% / PANW:+9.5% / NOW:+8.3%,13.01,71.4,满仓100%,13.01,71.8,84.7
2018-06,IS,DXCM / NFLX / TTD / PANW / CMG,DXCM:+9.7% / NFLX:+8.9% / TTD:+7.6% / PANW:-2.4% / CMG:-0.8%,4.59,58.0,满仓100%,4.59,79.7,93.2
2018-07,IS,TTD / DXCM / CMG / NFLX / ALGN,TTD:-9.1% / DXCM:-2.6% / CMG:+1.6% / NFLX:-12.9% / ALGN:+6.5%,-3.29,50.8,半仓 50%,-1.65,76.7,86.8
2018-08,IS,TTD / W / AMD / DXCM / ALGN,TTD:+68.7% / W:+23.1% / AMD:+39.7% / DXCM:+53.1% / ALGN:+8.4%,38.62,69.2,满仓100%,38.62,145.0,159.0
2018-09,IS,TTD / AMD / DXCM / W / ALGN,TTD:+6.8% / AMD:+19.8% / DXCM:-2.2% / W:+10.6% / ALGN:+1.7%,7.33,58.7,满仓100%,7.33,162.9,177.9
2018-10,IS,AMD / TTD / DXCM / W / FTNT,AMD:-40.0% / TTD:-17.6% / DXCM:-5.2% / W:-35.4% / FTNT:-11.6%,-21.97,28.6,空仓  0%,-0.0,162.9,116.9
2018-11,IS,TTD / DXCM / FTNT / W / LLY,TTD:+18.6% / DXCM:+0.1% / FTNT:-7.2% / W:+15.0% / LLY:+9.1%,7.1,73.4,满仓100%,7.1,181.6,132.3
2018-12,IS,SBUX / MKC / LLY / DXCM / HRL,SBUX:-5.5% / MKC:-8.6% / LLY:-3.2% / DXCM:-12.4% / HRL:-6.3%,-7.21,37.0,空仓  0%,-0.0,181.6,115.5
2019-01,IS,SBUX / MKC / CHD / HRL / TSLA,SBUX:+7.7% / MKC:-10.2% / CHD:-0.6% / HRL:+0.1% / TSLA:-0.2%,-0.64,51.5,半仓 50%,-0.32,180.7,114.1
2019-02,IS,TWLO / WDAY / OKTA / SBUX / CHD,TWLO:+10.7% / WDAY:+10.6% / OKTA:+5.4% / SBUX:+3.0% / CHD:+1.7%,6.28,79.1,满仓100%,6.28,198.3,127.6
2019-03,IS,TWLO / OKTA / WDAY / KEYS / NTNX,TWLO:+6.8% / OKTA:-3.5% / WDAY:-3.2% / KEYS:+3.5% / NTNX:+4.0%,1.53,71.1,满仓100%,1.53,202.9,131.1
2019-04,IS,W / TTD / TWLO / KEYS / CMG,W:+8.6% / TTD:+10.6% / TWLO:+8.1% / KEYS:+0.0% / CMG:-3.2%,4.8,63.6,满仓100%,4.8,217.4,142.2
2019-05,IS,W / TTD / CMG / CDNS / ANET,W:-11.8% / TTD:-10.3% / CMG:-4.6% / CDNS:-9.0% / ANET:-22.6%,-11.67,52.3,半仓 50%,-5.83,198.9,113.9
2019-06,IS,QCOM / ALGN / OKTA / TTD / CDNS,QCOM:+20.2% / ALGN:-0.8% / OKTA:+10.1% / TTD:+18.1% / CDNS:+14.6%,12.45,64.5,满仓100%,12.45,236.1,140.5
2019-07,IS,OKTA / QCOM / IR / VEEV / TTD,OKTA:+4.8% / QCOM:-14.6% / IR:-10.8% / VEEV:-0.1% / TTD:+12.0%,-1.75,38.3,空仓  0%,-0.0,236.1,136.3
2019-08,IS,OKTA / VEEV / BX / BR / CPRT,OKTA:-4.5% / VEEV:-3.5% / BX:+2.7% / BR:+1.7% / CPRT:-2.6%,-1.26,29.6,空仓  0%,-0.0,236.1,133.4
2019-09,IS,OKTA / DXCM / TTWO / HSY / BX,OKTA:-21.9% / DXCM:-12.0% / TTWO:-4.4% / HSY:-2.3% / BX:+0.5%,-8.03,27.7,空仓  0%,-0.0,236.1,114.6
2019-10,IS,WDC / KLAC / DXCM / TGT / TTWO,WDC:-13.7% / KLAC:+5.8% / DXCM:+4.0% / TGT:+0.7% / TTWO:-3.1%,-1.27,63.3,满仓100%,-1.27,231.8,111.9
2019-11,IS,KLAC / TGT / WDC / LRCX / DG,KLAC:-3.6% / TGT:+16.3% / WDC:-2.8% / LRCX:-2.7% / DG:-2.0%,1.04,67.0,满仓100%,1.04,235.3,114.1
2019-12,IS,TSLA / LRCX / KLAC / MPC / TGT,TSLA:+28.9% / LRCX:+11.0% / KLAC:+10.3% / MPC:+0.0% / TGT:+2.4%,10.51,53.8,半仓 50%,5.26,252.9,136.6
2020-01,IS,TSLA / ALGN / STT / DXCM / AMD,TSLA:+58.7% / ALGN:-8.4% / STT:-4.2% / DXCM:+10.3% / AMD:-1.0%,11.07,59.0,满仓100%,11.07,292.0,162.8
2020-02,IS,TSLA / AMD / ALGN / Z / ZG,TSLA:+5.6% / AMD:+2.2% / ALGN:-15.0% / Z:+19.9% / ZG:+20.1%,6.57,66.3,满仓100%,6.57,317.7,180.1
2020-03,IS,TSLA / ZG / Z / AMD / DXCM,TSLA:-29.1% / ZG:-42.7% / Z:-39.6% / AMD:-6.8% / DXCM:-8.1%,-25.27,59.4,满仓100%,-25.27,212.2,109.3
